CustomerID,Age,Gender,Region,ContractType,MonthlyCharges,SignupDate
CUST_0,,Male,Urban,Yearly,48.18,2021-03-20
CUST_1,,Female,Suburban,Prepaid,38.94,2020-01-25
CUST_2,46.0,Female,Rural,Monthly,48.56,2022-08-31
CUST_3,,Female,Urban,Prepaid,24.22,2018-12-09
CUST_4,60.0,Male,Rural,Monthly,67.86,2022-12-28
CUST_5,25.0,Female,Urban,Prepaid,44.77,2022-08-02
CUST_6,38.0,Female,Suburban,Yearly,38.67,2022-11-05
CUST_7,,Female,Rural,Monthly,40.41,2018-12-25
CUST_8,36.0,Male,Suburban,Yearly,50.25,2022-12-20
CUST_9,,Male,Urban,Yearly,51.79,2022-10-16
CUST_10,,Female,Urban,Prepaid,47.81,2022-04-29
CUST_11,,Female,Suburban,Monthly,47.74,2021-04-02
CUST_12,41.0,Female,Urban,Yearly,58.25,2022-07-19
CUST_13,53.0,Male,Suburban,Monthly,33.52,2022-02-21
CUST_14,,Male,Suburban,Monthly,53.38,2023-06-04
CUST_15,41.0,Male,Suburban,Monthly,45.23,2019-03-13
CUST_16,20.0,Female,Urban,Monthly,20.03,2018-02-06
CUST_17,,Male,Rural,Prepaid,33.75,2021-10-10
CUST_18,19.0,Female,Suburban,Monthly,38.12,2018-09-17
CUST_19,41.0,Female,Rural,Prepaid,75.06,2021-12-01
CUST_20,61.0,Male,Urban,Prepaid,56.79,2019-06-09
CUST_21,47.0,Female,Urban,Prepaid,54.06,2020-12-25
CUST_22,55.0,Male,Rural,Prepaid,42.7,2020-10-08
CUST_23,,Female,Suburban,Monthly,42.31,2022-12-17
CUST_24,38.0,Female,Urban,Prepaid,32.26,2018-07-02
CUST_25,50.0,Male,Suburban,Prepaid,45.1,2022-05-17
CUST_26,29.0,Female,Suburban,Monthly,70.63,2018-10-26
CUST_27,39.0,Female,Rural,Monthly,30.23,2021-07-06
CUST_28,,Female,Urban,Monthly,41.2,2022-09-13
CUST_29,42.0,Female,Rural,Yearly,63.89,2021-09-04
CUST_30,,Female,Urban,Prepaid,63.85,2019-06-13
CUST_31,44.0,Female,Rural,Prepaid,39.19,2019-03-11
CUST_32,59.0,Female,Urban,Prepaid,67.45,2023-03-02
CUST_33,45.0,Female,Urban,Yearly,43.48,2019-12-24
CUST_34,33.0,Male,Urban,Monthly,32.76,2022-05-03
CUST_35,32.0,Male,Suburban,Prepaid,72.47,2018-09-25
CUST_36,64.0,Female,Suburban,Prepaid,51.38,2021-08-27
CUST_37,68.0,Female,Rural,Monthly,47.48,2018-06-27
CUST_38,,Male,Rural,Prepaid,52.62,2022-01-30
CUST_39,69.0,Female,Urban,Monthly,35.45,2018-09-26
CUST_40,20.0,Male,Urban,Yearly,41.57,2020-01-08
CUST_41,54.0,Male,Suburban,Monthly,71.55,2020-04-12
CUST_42,68.0,Male,Suburban,Yearly,77.89,2021-01-28
CUST_43,24.0,Female,Suburban,Prepaid,33.3,2022-04-30
CUST_44,38.0,Female,Rural,Monthly,44.16,2019-11-03
CUST_45,26.0,Female,Suburban,Yearly,50.07,2023-01-19
CUST_46,56.0,Male,Rural,Monthly,53.01,2018-07-31
CUST_47,35.0,Male,Suburban,Monthly,35.74,2018-03-29
CUST_48,,Male,Suburban,Monthly,59.76,2022-05-27
CUST_49,,Female,Urban,Yearly,60.89,2019-11-18
CUST_50,31.0,Male,Rural,Prepaid,62.75,2018-06-12
CUST_51,67.0,Male,Suburban,Prepaid,61.29,2022-05-30
CUST_52,26.0,Female,Urban,Prepaid,51.22,2022-01-01
CUST_53,,Male,Rural,Yearly,64.86,2020-11-17
CUST_54,19.0,Male,Rural,Yearly,58.16,2019-05-30
CUST_55,37.0,Female,Suburban,Prepaid,27.74,2021-11-03
CUST_56,45.0,Female,Rural,Prepaid,27.85,2018-09-17
CUST_57,64.0,Male,Urban,Yearly,54.63,2021-03-10
CUST_58,24.0,Female,Urban,Prepaid,69.29,2019-05-21
CUST_59,,Male,Rural,Prepaid,56.69,2018-12-06
CUST_60,25.0,Female,Urban,Prepaid,58.82,2019-09-22
CUST_61,,Male,Rural,Prepaid,34.11,2021-08-19
CUST_62,,Female,Urban,Monthly,51.01,2019-06-11
CUST_63,,Male,Rural,Monthly,67.13,2021-04-03
CUST_64,34.0,Female,Rural,Monthly,56.69,2023-06-16
CUST_65,53.0,Female,Rural,Yearly,257.85,2021-04-28
CUST_66,67.0,Female,Urban,Prepaid,58.91,2020-03-25
CUST_67,57.0,Female,Rural,Prepaid,53.4,2018-06-22
CUST_68,21.0,Female,Rural,Yearly,67.62,2021-10-01
CUST_69,19.0,Female,Suburban,Monthly,53.39,2022-11-15
CUST_70,23.0,Female,Suburban,Prepaid,49.54,2020-04-03
CUST_71,59.0,Male,Rural,Prepaid,34.29,2021-04-02
CUST_72,21.0,Male,Suburban,Prepaid,68.22,2022-11-17
CUST_73,46.0,Female,Rural,Monthly,35.89,2021-03-20
CUST_74,35.0,Female,Suburban,Prepaid,53.56,2022-08-31
CUST_75,,Male,Urban,Monthly,62.01,2018-11-19
CUST_76,,Male,Urban,Prepaid,76.84,2023-04-26
CUST_77,,Female,Rural,Yearly,53.4,2019-03-21
CUST_78,,Male,Rural,Prepaid,70.87,2022-05-26
CUST_79,53.0,Male,Urban,Monthly,50.41,2023-05-25
CUST_80,31.0,Female,Urban,Prepaid,41.59,2021-11-01
CUST_81,48.0,Female,Suburban,Prepaid,91.5,2020-08-12
CUST_82,65.0,Female,Rural,Monthly,31.73,2018-04-07
CUST_83,,Male,Urban,Monthly,93.82,2021-08-15
CUST_84,,Female,Urban,Monthly,74.43,2022-03-10
CUST_85,31.0,Female,Rural,Monthly,41.38,2019-07-16
CUST_86,40.0,Male,Suburban,Prepaid,59.75,2018-07-04
CUST_87,57.0,Female,Suburban,Monthly,29.03,2020-04-18
CUST_88,,Male,Suburban,Prepaid,58.9,2022-11-25
CUST_89,33.0,Male,Suburban,Prepaid,54.83,2023-02-06
CUST_90,62.0,Male,Urban,Monthly,63.0,2022-09-16
CUST_91,35.0,Male,Rural,Yearly,43.94,2019-07-28
CUST_92,64.0,Male,Rural,Monthly,52.39,2018-06-09
CUST_93,41.0,Male,Urban,Yearly,57.14,2020-08-08
CUST_94,43.0,Female,Urban,Yearly,42.67,2020-01-30
CUST_95,,Female,Urban,Prepaid,71.09,2019-07-15
CUST_96,,Female,Rural,Yearly,51.95,2023-01-30
CUST_97,58.0,Male,Rural,Monthly,55.17,2023-05-05
CUST_98,,Female,Rural,Yearly,37.51,2022-11-15
CUST_99,32.0,Male,Suburban,Monthly,25.23,2021-04-20
CUST_100,62.0,Female,Urban,Monthly,29.8,2021-10-14
CUST_101,18.0,Male,Urban,Monthly,58.94,2019-11-19
CUST_102,42.0,Female,Urban,Prepaid,38.15,2021-07-22
CUST_103,24.0,Male,Rural,Yearly,60.93,2021-03-04
CUST_104,,Female,Urban,Prepaid,74.82,2018-11-02
CUST_105,,Male,Urban,Prepaid,61.56,2018-05-13
CUST_106,18.0,Female,Suburban,Prepaid,56.39,2022-01-29
CUST_107,61.0,Male,Rural,Prepaid,59.84,2022-07-08
CUST_108,25.0,Female,Urban,Prepaid,66.56,2021-07-04
CUST_109,41.0,Female,Rural,Prepaid,54.68,2022-05-29
CUST_110,,Female,Rural,Monthly,59.96,2023-04-17
CUST_111,68.0,Male,Rural,Monthly,41.52,2018-01-23
CUST_112,34.0,Male,Suburban,Prepaid,35.36,2019-03-17
CUST_113,25.0,Male,Rural,Prepaid,42.41,2021-06-12
CUST_114,,Male,Rural,Yearly,45.1,2023-03-24
CUST_115,52.0,Male,Rural,Prepaid,44.49,2021-10-15
CUST_116,,Female,Urban,Prepaid,67.2,2023-06-24
CUST_117,22.0,Male,Suburban,Prepaid,9.26,2020-10-18
CUST_118,,Female,Urban,Prepaid,46.79,2019-08-30
CUST_119,56.0,Female,Suburban,Monthly,61.15,2022-10-14
CUST_120,58.0,Male,Suburban,Prepaid,60.6,2023-02-21
CUST_121,45.0,Female,Rural,Monthly,37.72,2020-12-27
CUST_122,24.0,Male,Rural,Prepaid,76.08,2018-01-04
CUST_123,26.0,Male,Urban,Monthly,29.24,2020-06-25
CUST_124,,Male,Suburban,Monthly,44.75,2023-01-27
CUST_125,,Female,Rural,Prepaid,45.35,2023-05-05
CUST_126,,Male,Rural,Prepaid,45.2,2021-04-11
CUST_127,,Male,Rural,Prepaid,70.4,2022-05-16
CUST_128,,Male,Rural,Monthly,50.24,2019-03-09
CUST_129,40.0,Female,Urban,Prepaid,54.8,2018-09-23
CUST_130,41.0,Male,Urban,Monthly,63.19,2020-12-18
CUST_131,54.0,Female,Rural,Prepaid,40.41,2020-08-19
CUST_132,,Female,Rural,Prepaid,47.68,2022-02-27
CUST_133,61.0,Male,Rural,Prepaid,75.14,2020-04-01
CUST_134,57.0,Female,Rural,Prepaid,55.67,2020-04-09
CUST_135,,Female,Rural,Prepaid,33.58,2018-12-15
CUST_136,44.0,Male,Suburban,Prepaid,37.15,2021-05-03
CUST_137,52.0,Male,Suburban,Monthly,63.38,2019-03-25
CUST_138,,Male,Suburban,Prepaid,33.06,2023-05-04
CUST_139,,Female,Suburban,Monthly,42.91,2021-12-07
CUST_140,,Male,Rural,Monthly,53.05,2021-07-16
CUST_141,,Female,Suburban,Monthly,50.2,2018-06-21
CUST_142,31.0,Female,Suburban,Yearly,72.25,2020-11-13
CUST_143,20.0,Female,Urban,Prepaid,13.24,2020-01-07
CUST_144,,Female,Suburban,Prepaid,57.23,2019-06-08
CUST_145,22.0,Female,Suburban,Monthly,45.76,2018-07-04
CUST_146,43.0,Male,Rural,Monthly,69.76,2019-01-01
CUST_147,31.0,Male,Suburban,Monthly,46.47,2021-03-03
CUST_148,56.0,Female,Suburban,Prepaid,46.9,2023-05-17
CUST_149,,Female,Rural,Monthly,49.94,2022-12-27
CUST_150,26.0,Male,Suburban,Yearly,40.08,2019-06-26
CUST_151,32.0,Male,Rural,Prepaid,41.14,2018-07-16
CUST_152,32.0,Female,Suburban,Yearly,47.77,2019-05-28
CUST_153,43.0,Female,Urban,Prepaid,74.67,2019-02-08
CUST_154,,Male,Urban,Prepaid,42.63,2020-10-14
CUST_155,30.0,Male,Suburban,Prepaid,39.69,2021-08-02
CUST_156,68.0,Female,Urban,Monthly,44.0,2019-02-21
CUST_157,49.0,Male,Rural,Monthly,50.05,2018-07-11
CUST_158,,Male,Suburban,Monthly,76.89,2022-04-17
CUST_159,66.0,Female,Rural,Monthly,38.54,2019-09-01
CUST_160,69.0,Female,Urban,Prepaid,87.49,2022-12-17
CUST_161,,Female,Rural,Prepaid,56.78,2022-05-15
