CustomerID,Month,CallMinutes,DataUsageGB,SMSCount,Complaints
CUST_0,2023-01-31,518.12,7.21,9,1
CUST_0,2023-02-28,439.79,5.99,35,1
CUST_0,2023-03-31,545.06,14.16,14,1
CUST_0,2023-04-30,461.78,6.66,40,0
CUST_0,2023-05-31,434.82,12.75,26,2
CUST_0,2023-06-30,442.07,9.91,24,1
CUST_0,2023-07-31,590.26,10.75,13,0
CUST_0,2023-08-31,515.54,8.02,32,0
CUST_0,2023-09-30,493.27,8.12,41,0
CUST_0,2023-10-31,558.78,13.57,39,1
CUST_0,2023-11-30,447.32,9.2,17,0
CUST_0,2023-12-31,459.99,11.21,10,0
CUST_1,2023-01-31,496.82,14.09,47,2
CUST_1,2023-02-28,466.07,7.6,46,0
CUST_1,2023-03-31,426.28,10.66,1,2
CUST_1,2023-04-30,416.73,11.13,37,1
CUST_1,2023-05-31,421.51,7.05,39,0
CUST_1,2023-06-30,490.46,11.21,35,1
CUST_1,2023-07-31,564.07,9.88,31,1
CUST_1,2023-08-31,435.93,15.68,32,0
CUST_1,2023-09-30,396.88,3.45,20,1
CUST_1,2023-10-31,433.54,17.17,45,3
CUST_1,2023-11-30,407.99,11.33,42,1
CUST_1,2023-12-31,467.81,4.33,40,1
CUST_2,2023-01-31,553.74,3.45,22,0
CUST_2,2023-02-28,563.81,9.41,46,1
CUST_2,2023-03-31,620.23,12.32,44,0
CUST_2,2023-04-30,537.58,4.29,28,0
CUST_2,2023-05-31,544.66,7.92,28,1
CUST_2,2023-06-30,557.27,9.42,34,1
CUST_2,2023-07-31,612.1,8.75,6,0
CUST_2,2023-08-31,543.92,12.56,29,1
CUST_2,2023-09-30,647.67,10.57,29,1
CUST_2,2023-10-31,569.46,6.39,8,1
CUST_2,2023-11-30,591.98,6.8,15,0
CUST_2,2023-12-31,597.84,13.44,26,0
CUST_3,2023-01-31,658.71,11.76,45,0
CUST_3,2023-02-28,615.43,8.33,26,0
CUST_3,2023-03-31,580.84,8.18,7,2
CUST_3,2023-04-30,627.63,14.34,25,0
CUST_3,2023-05-31,563.23,8.85,32,0
CUST_3,2023-06-30,594.02,16.16,24,1
CUST_3,2023-07-31,565.55,11.57,4,0
CUST_3,2023-08-31,644.23,10.36,32,1
